               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11454,            0.034197,             0.06023,            0.006232,            0.026683,           0.0016058,          0.00041109,             0.10333,            0.030787,            0.055151,              0.0005,              0.0005,              0.0955
                   1,             0.10207,            0.036626,            0.056986,            0.013161,            0.050161,           0.0073703,           0.0017655,            0.093415,            0.032869,            0.051001,           0.0010099,           0.0010099,             0.09091
                   2,            0.092058,            0.039097,            0.052485,            0.031123,             0.07227,            0.025726,           0.0053139,            0.085641,            0.034754,            0.047271,           0.0015195,           0.0015195,            0.086319
                   3,             0.08373,            0.040804,            0.047142,             0.39369,             0.13413,            0.076374,            0.025296,            0.078544,            0.036008,            0.039779,           0.0020284,           0.0020284,            0.081728
                   4,            0.076731,            0.042043,            0.042535,             0.42489,             0.15403,             0.10511,            0.044245,            0.073708,            0.036468,            0.037238,           0.0025364,           0.0025364,            0.077136
                   5,            0.071282,            0.040147,            0.037759,             0.55634,             0.15568,             0.12694,            0.055763,            0.068981,            0.035631,            0.032363,           0.0030433,           0.0030433,            0.072543
                   6,            0.069013,            0.039571,            0.036233,             0.42251,             0.19125,             0.15395,            0.040441,            0.065553,            0.034579,            0.030733,           0.0035488,           0.0035488,            0.067949
                   7,            0.069537,            0.036353,             0.03373,             0.12012,             0.38382,              0.1643,            0.058619,            0.068537,            0.032896,            0.028454,           0.0040525,           0.0040525,            0.063353
                   8,            0.067358,            0.035713,            0.032393,              0.4602,             0.23405,             0.15672,            0.043878,            0.065258,            0.032531,            0.028038,           0.0045543,           0.0045543,            0.058754
                   9,            0.067083,            0.035643,            0.030821,             0.14005,             0.42702,             0.17622,            0.054353,            0.066731,             0.03133,            0.025114,           0.0050539,           0.0050539,            0.054154
                  10,            0.068386,            0.035873,            0.029216,             0.49245,             0.31668,              0.2245,            0.077443,            0.066666,            0.031879,            0.025471,           0.0055511,           0.0055511,            0.049551
                  11,            0.066097,            0.034629,            0.028747,             0.20053,             0.38859,             0.22055,            0.085399,            0.060522,            0.031352,             0.02351,           0.0060454,           0.0060454,            0.044945
                  12,            0.064503,            0.035753,            0.026622,             0.18416,             0.44175,             0.22526,            0.077134,            0.063325,            0.029957,            0.023958,           0.0065368,           0.0065368,            0.040337
                  13,            0.065915,            0.033766,            0.025169,             0.50985,             0.36951,             0.29936,            0.097943,            0.064461,            0.029218,            0.021669,           0.0070249,           0.0070249,            0.035725
                  14,            0.064984,            0.033239,            0.026448,             0.20783,             0.25164,              0.1807,            0.055961,             0.06681,            0.033603,            0.027243,           0.0075096,           0.0075096,             0.03111
